Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
2023-10-31,498.7,111.7,9.8,107.4,40.3,364.8,1132.6999999999998,445.9,170.2,9.8,115.4,57.0,452.1,804.5,960.0,325.6,17.9,105.9,39.4,725.4,1925.005013033888,2914.950760966876,1826.5306122448976,986.0335195530727,977.6674937965261,1988.4868421052631
2023-11-30,366.8000000000002,38.4,219.4,56.6,54.9,441.4,1177.5,231.0,23.2,380.5,62.5,57.3,512.0,1035.5,1165.2999999999993,161.9000000000001,735.3000000000002,111.60000000000002,152.40000000000003,1077.8000000000002,3176.9356597600836,4216.145833333336,3351.4129443938023,1971.7314487632511,2775.9562841530064,2441.7761667421846
2023-12-31,298.0,0.1999999999999318,173.0999999999999,25.399999999999977,92.10000000000002,394.2999999999997,983.0999999999996,625.6999999999989,20.0,369.6999999999998,44.700000000000045,57.900000000000034,712.5,1204.8,438.0,150.0,385.0,100.0,50.0,728.0,1469.7986577181207,750000.0000002558,2224.1478913922597,3937.007874015752,542.8881650380021,1846.3099163073814
2024-01-31,485.1,3.3,18.37,32.1,67.9,625.3,1232.07,444.0,0.0,0.0,21.5,60.8,283.0,365.3,834.9,7.0,27.83,44.3,58.3,999.2,1721.0884353741496,2121.212121212121,1514.9700598802394,1380.06230529595,858.6156111929306,1597.9529825683674
2024-02-29,477.2,0.0,7.89,20.2,36.6,370.6,912.49,333.0,0.0,0.0,14.0,28.6,360.0,402.6,838.9,0.3,13.59,27.4,37.1,644.5,1757.9631181894383,,1722.4334600760455,1356.4356435643563,1013.6612021857923,1739.0717754991904
2024-03-31,508.4000000000001,0.0,125.28,22.799999999999997,30.19999999999999,712.5000000000001,1399.1800000000003,391.79999999999995,0.0,1.3,13.700000000000003,27.599999999999994,403.4000000000001,446.0000000000001,1024.6000000000001,-0.09999999999999964,220.15,44.400000000000006,44.400000000000006,1287.8999999999999,2015.3422501966954,,1757.2637292464879,1947.3684210526321,1470.1986754966897,1807.5789473684206
2024-04-30,612.3,8.5,392.6,24.0,38.8,635.7,1711.9,405.2,,254.1,18.5,27.1,392.0,691.7,1194.0,15.3,787.3,28.1,44.0,1171.7,1950.0244977951986,1800.0,2005.3489556800814,1170.8333333333335,1134.0206185567013,1843.1650149441562
2024-05-31,581.9,74.7,344.8,22.4,31.3,711.2,1766.3000000000002,396.5,0.0,226.3,23.7,27.1,432.3,709.4000000000001,1159.6,157.2,676.0,20.6,28.9,1277.4,1992.7822649939853,2104.417670682731,1960.5568445475637,919.6428571428573,923.3226837060702,1796.119235095613
2024-06-30,445.10000000000025,19.5,289.06,35.50000000000001,50.20000000000002,507.6999999999998,1347.0600000000002,370.5,0.0,311.29999999999995,32.599999999999994,37.80000000000001,520.3,902.0,921.0,46.30000000000001,703.1300000000001,12.200000000000017,27.299999999999983,980.2999999999993,2069.197933048752,2374.3589743589746,2432.4707673147445,343.6619718309863,543.8247011952186,1930.8646838684256
2024-07-31,541.2,0.0,167.3,54.4,48.1,230.7,1041.7,470.3,0.0,146.0,38.1,52.4,413.1,649.6,1012.1,0.8,350.2,62.8,38.7,599.5,1870.10347376201,,2093.2456664674237,1154.4117647058822,804.5738045738045,2598.612917208496
